size,threads,runtime,runtimesd,energy,energysd
500,1,0.06981612,0.00006451,1.13888538,0.02747119
500,2,0.07066954,0.00723368,1.14656353,0.12230083
500,3,0.04819185,0.00570702,0.95990258,0.12328643
500,4,0.03592618,0.00283537,0.73018420,0.05523539
500,5,0.03030306,0.00329043,0.72056556,0.07466547
500,6,0.02531643,0.00190908,0.61364526,0.04278201
500,7,0.02237443,0.00236677,0.62110901,0.06200772
500,8,0.01936592,0.00151733,0.54867494,0.04302011
500,9,0.01733645,0.00118463,0.55011171,0.03638826
500,10,0.01551678,0.00083371,0.49858248,0.02823419
500,11,0.01572047,0.00137665,0.55323583,0.04560173
500,12,0.01416375,0.00115659,0.50416327,0.03900640
500,13,0.01361366,0.00108041,0.52904087,0.04022509
500,14,0.01216972,0.00093460,0.47793925,0.03711696
500,15,0.01183355,0.00080396,0.50364512,0.03392670
500,16,0.01108482,0.00084177,0.47551095,0.03387717
1000,1,0.84057450,0.01019900,13.34292603,0.56611007
1000,2,2.09630275,0.33342251,31.63567543,5.03229713
1000,3,1.35293341,0.05579563,24.82278824,2.00592732
1000,4,1.05017591,0.16926448,19.48585510,3.04748178
1000,5,0.99180257,0.09714241,21.52939034,2.07285929
1000,6,0.89088601,0.00227893,19.31395912,0.25543115
1000,7,0.70362973,0.06977032,17.85608864,1.81510532
1000,8,0.65570241,0.00258500,16.63592911,0.19146088
1000,9,0.54393709,0.01729624,15.71864986,0.52269697
1000,10,0.44353494,0.05610337,13.08636475,1.53817654
1000,11,0.46987525,0.00281055,15.35146236,0.21243753
1000,12,0.44073987,0.00252255,14.51200771,0.08646701
1000,13,0.34276360,0.02789102,12.64705181,1.01912594
1000,14,0.34855777,0.00270790,12.78101063,0.08506969
1000,15,0.35588539,0.00239810,13.96465588,0.08950172
1000,16,0.31581584,0.01155019,12.56728840,0.39782229
1500,1,3.10408235,0.02474383,49.36757660,1.62957108
1500,2,17.37053299,0.16767848,261.28210449,4.16906548
1500,3,11.70947552,0.08137088,208.14701843,2.57897377
1500,4,8.78386116,0.08638611,157.39381409,3.18184400
1500,5,6.95427418,0.09369370,146.71385193,2.35839176
1500,6,5.86170816,0.02982096,125.16703033,1.69049835
1500,7,5.02224541,0.02929423,124.14002228,1.63515306
1500,8,4.36662054,0.02829448,108.83021545,2.05391908
1500,9,3.91840601,0.01848780,110.51360321,0.86249340
1500,10,3.52430820,0.02421034,99.43759155,1.42016363
1500,11,3.19432902,0.02137114,100.95149231,1.28144979
1500,12,2.93275809,0.01125643,92.96181488,1.12023973
1500,13,2.69149899,0.01037158,95.30892944,0.77871662
1500,14,2.48858762,0.03137793,87.87360382,1.91477549
1500,15,2.32650685,0.03701222,88.97188568,1.25483084
1500,16,2.21800089,0.03957663,84.92539978,1.06685364
